strong pros 	91496 	1.64906657723 	150882.99555
pros strong 	91347 	1.64901184 	150632.284548
this phone 	53397 	2.63442017042 	140670.13384
the phone 	41376 	2.92363816866 	120968.452867
of the 	27068 	3.21086345622 	86911.652033
it is 	26569 	3.20950738237 	85273.4016422
phone is 	22521 	3.23302795195 	72811.022506
if you 	18872 	3.5583354259 	67152.9061576
this is 	18563 	3.43016523169 	63674.1571958
in the 	18019 	3.5272772548 	63558.0088543
on the 	16839 	3.6671000742 	61750.2981495
and the 	16512 	3.55553203048 	58708.9448873
battery life 	15936 	3.49347836065 	55672.0711552
is the 	15845 	3.56753840016 	56527.6459505
the best 	15603 	3.602283608 	56206.4311357
br br 	15188 	4.57241428696 	69445.8281903
with the 	15184 	3.68849527116 	56006.1121974
is not 	14607 	3.68421296897 	53815.2988378
to use 	14277 	3.58955044525 	51248.0117068
is very 	14257 	3.71527268756 	52968.6427065
easy to 	13464 	3.6513285522 	49161.4876268
you can 	13271 	3.87358065728 	51406.2889028
for the 	13178 	3.76834165569 	49659.2063387
it has 	12869 	3.8026455662 	48936.2457914
to the 	12848 	3.86651776847 	49677.0202893
is good 	12240 	3.84237952177 	47030.7253465
all the 	11029 	3.88621583659 	42861.0744617
the screen 	10419 	4.04550685877 	42150.1359615
very good 	10176 	4.0401101916 	41112.1613097
go for 	9972 	4.01029944213 	39990.7060369
and it 	9727 	4.03307840051 	39229.7536018
the battery 	9530 	4.11226043354 	39189.8419316
is great 	9480 	4.01822489154 	38092.7719718
to be 	9391 	4.11328937254 	38627.9004975
phone and 	8993 	4.06370903587 	36544.9353596
touch screen 	8894 	4.04034942605 	35934.8677953
which is 	8760 	4.18406702237 	36652.4271159
better than 	8563 	4.14134627913 	35462.3481881
camera is 	8562 	4.06837333793 	34833.4125193
screen is 	8115 	4.1250686816 	33474.9323512
quality is 	8070 	4.20035924377 	33896.8990972
you are 	7918 	4.31397436628 	34158.0490322
phone for 	7915 	4.1699407503 	33005.0810386
have to 	7589 	4.30022844537 	32634.4336719
to buy 	7464 	4.2751045749 	31909.3805471
there is 	7335 	4.37426481933 	32085.2324498
the camera 	7299 	4.28087002859 	31246.0703387
in this 	7195 	4.33865518277 	31216.6240401
have been 	6790 	4.37109577323 	29679.7403002
it was 	6704 	4.4304410306 	29701.6766692
for it 	6505 	4.36000018867 	28361.8012273
for this 	6490 	4.39383359492 	28515.9800311
the same 	6270 	4.46642260596 	28004.4697394
samsung galaxy 	6179 	4.53248882455 	28006.2484469
the iphone 	6083 	4.72314245281 	28730.8755405
more than 	6048 	4.48509745764 	27125.8694238
bought this 	5956 	4.40531320356 	26238.0454404
lot of 	5950 	4.49824812622 	26764.576351
this price 	5918 	4.51291645284 	26707.4395679
but it 	5893 	4.51368435458 	26599.1419016
of this 	5813 	4.51946249084 	26271.6354593
the price 	5801 	4.52062213535 	26224.1290072
internal memory 	5783 	4.58842776813 	26534.8777831
to get 	5775 	4.52391511653 	26125.609798
want to 	5773 	4.546877562 	26249.1241654
with this 	5754 	4.50241716769 	25906.9083829
strong great 	5515 	4.45603526883 	24575.0345076
phone with 	5457 	4.51733996231 	24651.1241743
call quality 	5455 	4.49221492541 	24505.0324181
love the 	5406 	4.57404494366 	24727.2869654
you will 	5393 	4.70043282651 	25349.4342334
is also 	5353 	4.60849533118 	24669.2755078
for me 	5328 	4.61889550982 	24609.4752763
but the 	5323 	4.5832672654 	24396.7316537
from the 	5322 	4.61039747695 	24536.5353723
can be 	5322 	4.6485609958 	24739.6416197
you have 	5313 	4.66072256084 	24762.4189657
my phone 	5313 	4.72693842416 	25114.2238475
dual core 	5229 	4.63697996393 	24246.7682314
strong the 	5228 	4.51061627931 	23581.5019082
need to 	5171 	4.64900065288 	24039.982376
is awesome 	5170 	4.59757544107 	23769.4650303
at the 	5161 	4.67348440425 	24119.8530104
about the 	5155 	4.66384199296 	24042.1054737
phone in 	5139 	4.5909143007 	23592.7085913
that the 	5117 	4.66585249291 	23875.1672062
in my 	5106 	4.64570792682 	23720.9846743
the only 	5072 	4.5973666074 	23317.8434328
will be 	5066 	4.70810104115 	23851.2398745
that it 	5056 	4.63480982419 	23433.5984711
out of 	4990 	4.67551440382 	23330.8168751
like the 	4967 	4.64944050333 	23093.7709801
this mobile 	4956 	4.86868712609 	24129.2133969
buy this 	4926 	4.64526971472 	22882.5986147
compared to 	4883 	4.71676924583 	23031.9842274
there are 	4878 	4.69007003947 	22878.1616525
is really 	4787 	4.73553241355 	22668.9936637
does not 	4761 	4.75906291096 	22657.8985191
great phone 	4714 	4.64680429794 	21905.0354605
one of 	4695 	4.71818200801 	22151.8645276
on this 	4656 	4.75685621643 	22147.9225437
phone has 	4587 	4.71700456763 	21636.8999517
good phone 	4570 	4.69236361846 	21444.1017364
is just 	4552 	4.769425698 	21710.4257773
it for 	4546 	4.7113720721 	21417.8974398
it to 	4522 	4.73457387046 	21409.7430422
using this 	4455 	4.7102026181 	20983.9526637
smart phone 	4306 	4.82632154127 	20782.1405567
dual sim 	4298 	4.94226851083 	21241.8700596
lots of 	4294 	4.75808155661 	20431.2022041
as well 	4280 	4.84701193453 	20745.2110798
phone to 	4235 	4.78593019867 	20268.4143914
android phone 	4169 	4.82658411184 	20122.0291622
able to 	4143 	4.88358806405 	20232.7053494
at all 	4129 	4.83926927136 	19981.3428215
it will 	4126 	4.87500669651 	20114.2776298
htc one 	4124 	5.2688254443 	21728.6361323
wi fi 	4061 	4.87887303659 	19813.1034016
sound quality 	4026 	4.82684675136 	19432.885021
battery backup 	4015 	4.86595189463 	19536.7968569
the market 	3976 	4.87390476803 	19378.6453577
with it 	3921 	4.86104725264 	19060.1662776
screen br 	3915 	4.83581778778 	18932.2266392
you want 	3914 	4.93404767769 	19311.8626105
at this 	3890 	4.92967130309 	19176.421369
from flipkart 	3882 	4.88108910398 	18948.3879017
when you 	3875 	4.98626475967 	19321.7759437
than the 	3856 	4.94670048736 	19074.4770793
to have 	3834 	4.9103539949 	18826.2972165
is that 	3833 	4.89871440288 	18776.7723062
best phone 	3819 	4.8667716788 	18586.2010413
life is 	3775 	4.85050233947 	18310.6463315
screen size 	3760 	4.8998440274 	18423.413543
sd card 	3759 	5.06741199989 	19048.4017076
do not 	3749 	4.99617196145 	18730.6486835
phone it 	3678 	4.90069208399 	18024.7454849
build quality 	3657 	4.95026026567 	18103.1017915
as the 	3624 	4.98904125382 	18080.2855038
use it 	3604 	4.9673444516 	17902.3094036
phone but 	3591 	4.91636861994 	17654.6797142
screen and 	3584 	4.93229482886 	17677.3446666
it and 	3531 	4.95293844016 	17488.8256322
this one 	3528 	5.00429446784 	17655.1508825
that is 	3508 	4.99461747645 	17521.1181074
br the 	3491 	5.29323203323 	18478.673028
to my 	3487 	5.0313188433 	17544.2088066
the features 	3481 	4.94966608859 	17229.7876544
as it 	3477 	5.01882868893 	17450.4673514
is no 	3476 	5.02489415046 	17466.532067
price range 	3473 	5.03551713785 	17488.3510198
most of 	3468 	5.00775087348 	17366.8800292
with my 	3445 	5.01565105677 	17278.9178906
core processor 	3427 	5.00775087348 	17161.5622434
on my 	3416 	5.1722900244 	17668.5427234
phone the 	3379 	5.0197839509 	16961.8499701
been using 	3370 	4.9724967588 	16757.3140772
of apps 	3335 	5.00586408046 	16694.5567083
comes with 	3333 	5.10485681011 	17014.4877481
display is 	3308 	5.01153517317 	16578.1583528
of my 	3304 	5.08698077548 	16807.3844822
used to 	3296 	5.08493856919 	16759.9575241
camera and 	3260 	5.00932592499 	16330.4025155
for my 	3250 	5.03293148677 	16357.027332
very fast 	3244 	5.03003059835 	16317.4192611
are not 	3242 	5.05051578877 	16373.7721872
good and 	3233 	5.05909386842 	16356.0504766
strong it 	3192 	5.00272731503 	15968.7055896
much better 	3188 	5.09005192617 	16227.0855406
